País,asociados,Flujo comercial,Grupos de Productos,Indicador,2015,2016,2017,2018,2019,2020
China,Afganistán,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"361819,889","430653,261","541205,985","667589,88","599799,484","500680,466"
China,Albania,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"430190,806","506540,419","454033,529","539905,479","601093,182","571223,967"
China,Alemania,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"69154833,61","65214030,65","71134400,1","77489342,16","79789085,19","86807061,05"
China,Andorra,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"1284,622","1279,466","1270,964","1866,569","2553,569","3400,568"
China,Angola,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"3717145,883","1680398,624","2257453,225","2253137,107","2055727,417","1748092,204"
China,Antigua y Barbuda,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"53070,077","133431,186","44869,624","55360,23","71936,357","91316,077"
China,Arabia Saudita,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"21612927,98","18650906,5","18375008,21","17428036,04","23876505,59","28094807,84"
China,Argelia,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"7583347,042","7647851,142","6784746,25","7926453,796","6941782,829","5596322,062"
China,Argentina,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"8805106,457","7200837,601","9067210,848","8418070,603","6884154,384","7083804,68"
China,Armenia,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"112400,45","111083,094","143851,698","213183,6","223093,382","222790,257"
China,Aruba,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"48278,051","25247,1","24302,076","32369,729","38994,192","35784,056"
China,Australia,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"40306508,77","37282496,55","41438227,66","47330059,33","48229553,59","53468167,17"
China,Austria,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"2497728,917","2240082,602","2527128,524","2827536,774","3047771,143","3406365,736"
China,Azerbaiyán,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"439145,357","345883,254","386971,46","515927,9","616391,737","617867,33"
China,Bahamas,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"1585371,87","359494,1","278492,711","480030,354","355470,072","277829,866"
China,Bahrein,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"1011846,267","790491,394","902519,415","1135521,751","1484146,634","1120247,091"
China,Bangladesh,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"13894707,66","14300635,41",15169021,"17753058,74","17323286,47","15075630,65"
China,Barbados,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"65197,184","72307,642","107797,967","136730,845","156135,079","79095,659"
China,Belarús,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"748901,088","1090019,147","933361,512","1141588,557","1799069,2","2113223,541"
China,Bélgica,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"16208313,16","14731455,11","15738121,29","17055064,98","18234318,68","20751809,14"
China,Belice,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"78496,871","89967,453","87246,99","92665,989","116828,558","103860,251"
China,Benin,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"2989072,543","2039435,616","1926508,591","2149947,724","2152518,547","988381,359"
China,Bermudas,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"364827,241","230173,553","132024,205","169297,717","36894,203","35588,655"
China,Bhután,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"8115,657","4828,959","6238,154","12833,463","10910,415","13561,213"
China,Bolivia,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"568845,952","609869,756","729173,078","836168,829","854148,191","687775,718"
China,Bonaire,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"422,215","667,182","1117,439","635,526","10,073","4,09"
China,Bosnia y Herzegovina,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"59978,105","64026,82","78816,751","109717,605","115164,881","120101,901"
China,Botswana,Exportación,  All Products,exportación Valor del comercio (en miles de US$),"224841,273","209573,218","232699,71","281603,044","301458,57","235431,928"
