País,asociados,Flujo comercial,Grupos de Productos,Indicador,2016,2017,2018,2019,2020
China,Afganistán,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"5,886250275",,"8,050610923","16,39240052","23,34662256"
China,Albania,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"1,319350572",0,"0,881337264","1,019095885","1,727953846"
China,Alemania,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"8,878240978","9,150269611","8,696587411","6,546432594","6,403155288"
China,Andorra,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"10,50728201",,"2,778546878","1,908324395","9,395977095"
China,Angola,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"0,0286252739",,"0,1074027398","0,08718073728","0,1404971578"
China,Antigua y Barbuda,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"7,531391629",,"6,689763068","1,396909143","4,740740815"
China,Arabia Saudita,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"1,872969568",,"1,740617143","1,6698264","1,332044046"
China,Argelia,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"6,638744854","1,429047683","2,735485822","1,190239427","1,854393664"
China,Argentina,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"4,23344729",,"4,477220618","5,94897662","6,605901338"
China,Armenia,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"0,5908656237","0,2726828375","0,7776756259","0,5032718311","0,3656140922"
China,Aruba,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"0,1345617548",,"3,276207861","2,730743767","6,646587147"
China,Australia,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"1,977076731","2,621573566","2,019991139","1,909890085","1,533072403"
China,Austria,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"6,899797216",,"7,021274513","5,738670179","6,477717997"
China,Azerbaiyán,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"0,5895964337",,"0,4405076521","0,6744201398","0,4517313828"
China,Bahamas,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"2,436135935",,"6,486278807","6,426768689","6,488873815"
China,Bahrein,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"5,915916354",,"5,562519111","5,659770764","5,435737046"
China,Bangladesh,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"12,40969125",,"12,27897081","6,104511692","6,378290716"
China,Barbados,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"3,830619992",,"3,831355571","3,81623513","3,860803782"
China,Belarús,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"3,972134812","4,48083611","3,827881206","4,458146757","5,089600288"
China,Bélgica,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"7,286092885","7,014881476","7,133601137","5,731824492","4,710472475"
China,Belice,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"2,06290392",,"1,078530555","0,3089386934","2,553959426"
China,Benin,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"3,711940733",,"8,958357769","9,846633998","11,83382755"
China,Bermudas,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"10,24354787","11,67820148","5,489191353","8,639896234","9,692098298"
China,Bhután,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"2,372825187",,"2,604524228","5,262807281","6,761744969"
China,Bolivia,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"1,370948815","0,29335196","0,8451249583","0,7281712437","2,973673376"
China,Bosnia y Herzegovina,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"6,739565507","2,198466044","5,573855954","3,808835907","4,292294116"
China,Botswana,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"3,217116252",,"3,314960814","3,04538336","3,030538806"
China,Brasil,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"2,585614798","2,254914746","2,01030689","1,859335442","2,712453575"
China,Brunei Darussalam,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"1,482861515","0,8563230613","0,7747472583","2,709495192","2,733140164"
China,Bulgaria,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"4,11656925","2,611551132","3,823619934","2,976397188","4,641986599"
China,Burkina Faso,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"4,939839137",,"13,47595583","5,292525088","7,682962937"
China,Burundi,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"6,521606975",,"3,045571101","4,301166185","6,688363056"
China,Cabo Verde,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"8,589646587",,"3,862214673","4,403164604","2,02365697"
China,Camboya,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"13,58016921",,"13,80597843","9,915245984","10,5296207"
China,Camerún,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"2,128184672",,"0,4852414701","0,5299527498","0,1890403392"
China,Canadá,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"4,613861746","5,570176604","4,558250553","3,546945207","4,638350016"
China,Chad,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"0,1021886949",,"0,1217602846","0,4714418823","0,05171624233"
China,Chile,Importación,  All Products,Promedio ponderado de aranceles NMF (%),"2,398614039","2,124197894","2,144798523","2,132183563","2,180370512"
