PAISES,REGIÓN,Reg_politic
AFGANISTÁN,ASIA-SUR,"2,58"
ALBANIA,EUROPA,"6,08"
ALEMANIA,EUROPA,"8,67"
ANDORRA,EUROPA,
ANGOLA,AFRICA,"3,66"
ANTIGUA Y BARBUDA,AMERICA,
ARABIA SAUDÍ,ASIA-SUR,"2,08"
ARGELIA,AFRICA,"3,77"
ARGENTINA,AMERICA,"6,95"
ARMENIA,EUROPA,"5,35"
ARUBA,AMERICA,
AUSTRALIA,ASIA-SUR,"8,96"
AUSTRIA,EUROPA,"8,16"
AZERBAIYÁN,EUROPA,"2,68"
BAHAMAS,AMERICA,
BAHRÉIN,ASIA-SUR,"2,49"
BANGLADESH,ASIA-SUR,"5,99"
BARBADOS,AMERICA,
BELARRÚS,EUROPA,"2,59"
BÉLGICA,EUROPA,"7,51"
BELICE,AMERICA,
BENÍN,AFRICA,"4,58"
BOLIVIA,AMERICA,"5,08"
BOSNIA-HERZEGOVINA,EUROPA,"4,84"
BOTSUANA,AFRICA,"7,62"
BRASIL,AMERICA,"6,92"
BRUNÉI,ASIA-SUR,
BULGARIA,EUROPA,"6,71"
BURKINA FASO,AFRICA,"3,73"
BURUNDI,AFRICA,"2,14"
BUTÁN,ASIA-SUR,"5,71"
CABO VERDE,AFRICA,"7,65"
CAMBOYA,ASIA-SUR,"3,1"
CAMERÚN,AFRICA,"2,77"
CANADÁ,AMERICA,"9,24"
CATAR,ASIA-SUR,"3,24"
CHAD,AFRICA,"1,55"
CHILE,AMERICA,"8,28"
CHINA,ASIA-SUR,"2,27"
CHIPRE,EUROPA,"7,56"
COLOMBIA,AMERICA,"7,04"
COMORAS,AFRICA,"3,09"
CONGO,AFRICA,"3,11"
CONGO (Rep. Democrática del),AFRICA,"1,13"
COREA (Rep. de),ASIA-SUR,"1,08"
COSTA RICA,AMERICA,"8,16"
CÔTE D'IVOIRE,AFRICA,"4,11"
CROACIA,EUROPA,"6,5"
CUBA,AMERICA,"2,84"
CURAZAO,AMERICA,
DINAMARCA,EUROPA,"9,15"
DOMINICA,AMERICA,"6,32"
ECUADOR,AMERICA,"6,13"
EGIPTO,AFRICA,"2,93"
EL SALVADOR,AMERICA,"5,9"
EMIRATOS ÁRABES UNIDOS,ASIA-SUR,"2,7"
ERITREA,AFRICA,"2,15"
ESLOVAQUIA,EUROPA,"6,97"
ESLOVENIA,EUROPA,"7,54"
ESPAÑA,EUROPA,"8,12"
ESTADO DE LA CIUDAD DEL VATICANO,EUROPA,
ESTADO DE PALESTINA,ASIA-SUR,"3,83"
ESTADOS UNIDOS,AMERICA,"7,92"
ESTONIA,EUROPA,"7,84"
ESWATINI,AFRICA,"3,08"
ETIOPÍA,AFRICA,"3,38"
FILIPINAS,ASIA-SUR,"6,56"
FINLANDIA,EUROPA,"9,2"
FIYI,ASIA-SUR,"5,72"
FRANCIA,EUROPA,"7,99"
GABÓN,AFRICA,"3,54"
GAMBIA,AFRICA,"4,49"
GEORGIA,EUROPA,"5,31"
GHANA,AFRICA,"6,5"
GRANADA,AMERICA,
GRECIA,EUROPA,"7,39"
GUATEMALA,AMERICA,"4,97"
GUINEA,AFRICA,"3,08"
GUINEA BISSAU,AFRICA,"2,63"
GUINEA ECUATORIAL,AFRICA,"1,92"
GUYANA,AMERICA,"6,01"
HAITÍ,AMERICA,"4,22"
HONDURAS,AMERICA,"5,36"
HUNGRÍA,EUROPA,"6,56"
INDIA,ASIA-SUR,"6,61"
INDONESIA,ASIA-SUR,"6,3"
IRAK,ASIA-SUR,"3,62"
IRÁN,ASIA-SUR,"2,2"
IRLANDA,EUROPA,"9,05"
ISLANDIA,EUROPA,"9,37"
ISRAEL,EUROPA,"7,84"
ITALIA,EUROPA,"7,74"
JAMAICA,AMERICA,"7,13"
JAPÓN,ASIA-SUR,"8,13"
JORDANIA,ASIA-SUR,"3,62"
KAZAJSTÁN,ASIA-SUR,"3,14"
KENIA,AFRICA,"5,05"
KIRGUISTÁN,ASIA-SUR,
KIRIBATI,ASIA-SUR,
KUWAIT,ASIA-SUR,"3,8"
LAOS,ASIA-SUR,"1,77"
LESOTO,AFRICA,"6,3"
LETONIA,EUROPA,"7,24"
LÍBANO,ASIA-SUR,"4,16"
LIBERIA,AFRICA,"5,32"
LIBIA,AFRICA,"1,95"
LIECHTENSTEIN,EUROPA,
LITUANIA,EUROPA,"7,13"
LUXEMBURGO,EUROPA,"8,68"
MACEDONIA DEL NORTE,EUROPA,"5,89"
MADAGASCAR,AFRICA,"5,7"
MALASIA,ASIA-SUR,"7,19"
MALAUI,AFRICA,"5,74"
MALDIVAS,ASIA-SUR,
MALÍ,AFRICA,"3,93"
MALTA,EUROPA,"7,68"
MARRUECOS,AFRICA,"5,04"
MARSHALL (Islas),ASIA-SUR,
MAURICIO,AFRICA,"8,14"
MAURITANIA,AFRICA,"3,92"
MÉXICO,AMERICA,"6,07"
MICRONESIA (ESTADOS FEDERADOS DE),ASIA-SUR,
MOLDOVA,EUROPA,"5,78"
MÓNACO,EUROPA,
MONGOLIA,ASIA-SUR,"6,48"
MONTENEGRO,EUROPA,"5,77"
MOZAMBIQUE,AFRICA,"3,51"
MYANMAR,ASIA-SUR,"3,04"
NAMIBIA,AFRICA,"6,52"
NAURU,ASIA-SUR,
NEPAL,ASIA-SUR,"5,22"
NICARAGUA,AMERICA,"3,6"
NÍGER,AFRICA,"3,29"
NIGERIA,AFRICA,"4,1"
NORUEGA,EUROPA,"9,81"
NUEVA ZELANDA,ASIA-SUR,"9,25"
OMÁN,ASIA-SUR,3
PAÍSES BAJOS,EUROPA,"8,96"
PAKISTÁN,ASIA-SUR,"4,31"
PANAMÁ,AMERICA,"7,18"
PAPÚA NUEVA GUINEA,ASIA-SUR,"6,1"
PARAGUAY,AMERICA,"6,18"
PERÚ,AMERICA,"6,53"
POLONIA,EUROPA,"6,85"
PORTUGAL,EUROPA,"7,9"
REINO UNIDO,EUROPA,"8,54"
REP. CENTROAFRICANA,AFRICA,"1,32"
REP. CHECA,EUROPA,"7,67"
REP. DOMINICANA,AMERICA,"4,21"
RUANDA,AFRICA,"3,1"
RUMANIA,EUROPA,"6,4"
RUSIA,EUROPA,"3,31"
SALOMÓN (Islas),ASIA-SUR,
SAMOA,ASIA-SUR,
SAN CRISTÓBAL Y NIEVES,AMERICA,
SAN MARINO,EUROPA,
SAN MARTÍN,AMERICA,
SAN VICENTE Y LAS GRANADINAS,AMERICA,
